     runtime  objective  leaves  retic
1   0.006504          0      13      2
2   0.004506          0      39      7
3   0.001987          0      29      2
4   0.002047          0      25      2
5   0.002175          0       9      4
6   0.045054          7       7     32
7   0.001687          0       8      5
8   0.004777          0       6      3
10  0.001022          0       6      4
11  0.003143          0      21      6
12  0.001113          0       6      2
15  0.001486          0       8      3
16  0.001624          0       9      3
17  0.001352          0      17      2
18  0.001813          0       9      5
19  0.005736          1      28      5
21  0.001270          0      11      5
22  0.001140          0      13      1
24  0.002550          0      15      6
25  0.001796          0      16      4
26  0.002749          0      22      9
27  0.001959          0      24      2
