                  runtime  objective           gap  leaves  retic  inst_num
L20_R5_1         0.003472        0.0 -1.000000e+00      20      5         1
L20_R5_2         0.007698        0.0 -1.000000e+00      20      5         2
L20_R5_3         0.013189        1.0 -1.000000e+00      20      5         3
L20_R5_4         0.003475        1.0 -1.000000e+00      20      5         4
L20_R5_5         0.006191        0.0 -1.000000e+00      20      5         5
L20_R5_6         0.002670        0.0 -1.000000e+00      20      5         6
L20_R5_7         0.007633        0.0 -1.000000e+00      20      5         7
L20_R5_8         0.002906        0.0 -1.000000e+00      20      5         8
L20_R5_9         0.002330        0.0 -1.000000e+00      20      5         9
L20_R5_10        0.002228        0.0 -1.000000e+00      20      5        10
L20_R5_11        0.002796        0.0 -1.000000e+00      20      5        11
L20_R5_12        0.003429        1.0 -1.000000e+00      20      5        12
L20_R5_13        0.007133        0.0 -1.000000e+00      20      5        13
L20_R5_14        0.003043        1.0 -1.000000e+00      20      5        14
L20_R5_15        0.005384        0.0 -1.000000e+00      20      5        15
L20_R5_16        0.002024        0.0 -1.000000e+00      20      5        16
L20_R5_17        0.002429        0.0 -1.000000e+00      20      5        17
L20_R5_18        0.003665        0.0 -1.000000e+00      20      5        18
L20_R5_19        0.001977        0.0 -1.000000e+00      20      5        19
L20_R5_20        0.002953        0.0 -1.000000e+00      20      5        20
L20_R5_21        0.002077        0.0 -1.000000e+00      20      5        21
L20_R5_22        0.002532        0.0 -1.000000e+00      20      5        22
L20_R5_23        0.003266        0.0 -1.000000e+00      20      5        23
L20_R5_24        0.002704        0.0 -1.000000e+00      20      5        24
L20_R5_25        0.002112        0.0 -1.000000e+00      20      5        25
L20_R5_26        0.002813        0.0 -1.000000e+00      20      5        26
L20_R5_27        0.002103        0.0 -1.000000e+00      20      5        27
L20_R5_28        0.007443        0.0 -1.000000e+00      20      5        28
L20_R5_29        0.002394        1.0 -1.000000e+00      20      5        29
L20_R5_30        0.002039        0.0 -1.000000e+00      20      5        30
L20_R5_31        0.002252        0.0 -1.000000e+00      20      5        31
L20_R5_32        0.002086        0.0 -1.000000e+00      20      5        32
L20_R5_33        0.007558        0.0 -1.000000e+00      20      5        33
L20_R5_34        0.007633        0.0 -1.000000e+00      20      5        34
L20_R5_35        0.002048        0.0 -1.000000e+00      20      5        35
L20_R5_36        0.001931        0.0 -1.000000e+00      20      5        36
L20_R5_37        0.002772        0.0 -1.000000e+00      20      5        37
L20_R5_38        0.002133        0.0 -1.000000e+00      20      5        38
L20_R5_39        0.002196        0.0 -1.000000e+00      20      5        39
L20_R5_40        0.004479        0.0 -1.000000e+00      20      5        40
L20_R5_41        0.002233        0.0 -1.000000e+00      20      5        41
L20_R5_42        0.010259        0.0 -1.000000e+00      20      5        42
L20_R5_43        0.002985        1.0 -1.000000e+00      20      5        43
L20_R5_44        0.002235        0.0 -1.000000e+00      20      5        44
L20_R5_45        0.001923        0.0 -1.000000e+00      20      5        45
L20_R5_46        0.001799        0.0 -1.000000e+00      20      5        46
L20_R5_47        0.002701        0.0 -1.000000e+00      20      5        47
L20_R5_48        0.002165        1.0 -1.000000e+00      20      5        48
L20_R5_49        0.006778        0.0 -1.000000e+00      20      5        49
L20_R5_50        0.006617        0.0 -1.000000e+00      20      5        50
L20_R10_1        0.006501        1.0 -1.000000e+00      20     10         1
L20_R10_2        0.003381        1.0 -1.000000e+00      20     10         2
L20_R10_3        0.011963        1.0 -1.000000e+00      20     10         3
L20_R10_4        0.004705        1.0 -1.000000e+00      20     10         4
L20_R10_5        0.004146        1.0 -1.000000e+00      20     10         5
L20_R10_6        0.004005        2.0 -1.000000e+00      20     10         6
L20_R10_7        0.009893        2.0 -1.000000e+00      20     10         7
L20_R10_8        0.007750        1.0 -1.000000e+00      20     10         8
L20_R10_9        0.016168        3.0 -1.000000e+00      20     10         9
L20_R10_10       0.011163        0.0 -1.000000e+00      20     10        10
L20_R10_11       0.006327        2.0 -1.000000e+00      20     10        11
L20_R10_12       0.036767        1.0 -1.000000e+00      20     10        12
L20_R10_13       0.008000        0.0 -1.000000e+00      20     10        13
L20_R10_14       0.006388        2.0 -1.000000e+00      20     10        14
L20_R10_15       0.026532        1.0 -1.000000e+00      20     10        15
L20_R10_16       0.003976        0.0 -1.000000e+00      20     10        16
L20_R10_17       0.006109        0.0 -1.000000e+00      20     10        17
L20_R10_18       0.003895        2.0 -1.000000e+00      20     10        18
L20_R10_19       0.074141        2.0 -1.000000e+00      20     10        19
L20_R10_20       0.006369        1.0 -1.000000e+00      20     10        20
L20_R10_21       0.003049        1.0 -1.000000e+00      20     10        21
L20_R10_22       0.002668        0.0 -1.000000e+00      20     10        22
L20_R10_23       0.005399        0.0 -1.000000e+00      20     10        23
L20_R10_24       0.005913        2.0 -1.000000e+00      20     10        24
L20_R10_25       0.004012        1.0 -1.000000e+00      20     10        25
L20_R10_26       0.005778        1.0 -1.000000e+00      20     10        26
L20_R10_27       0.003644        2.0 -1.000000e+00      20     10        27
L20_R10_28       0.003876        1.0 -1.000000e+00      20     10        28
L20_R10_29       0.005086        1.0 -1.000000e+00      20     10        29
L20_R10_30       0.026334        3.0 -1.000000e+00      20     10        30
L20_R10_31       0.002816        0.0 -1.000000e+00      20     10        31
L20_R10_32       0.006668        1.0 -1.000000e+00      20     10        32
L20_R10_33       0.005851        1.0 -1.000000e+00      20     10        33
L20_R10_34       0.005184        0.0 -1.000000e+00      20     10        34
L20_R10_35       0.003243        1.0 -1.000000e+00      20     10        35
L20_R10_36       0.006868        0.0 -1.000000e+00      20     10        36
L20_R10_37      -1.000000       -1.0  1.000000e+20      20     10        37
L20_R10_38       0.006507        2.0 -1.000000e+00      20     10        38
L20_R10_39       0.004097        0.0 -1.000000e+00      20     10        39
L20_R10_40       0.023061        2.0 -1.000000e+00      20     10        40
L20_R10_41       0.002804        1.0 -1.000000e+00      20     10        41
L20_R10_42       0.004720        1.0 -1.000000e+00      20     10        42
L20_R10_43       0.014503        0.0 -1.000000e+00      20     10        43
L20_R10_44       0.004136        1.0 -1.000000e+00      20     10        44
L20_R10_45       0.004998        1.0 -1.000000e+00      20     10        45
L20_R10_46       0.002859        1.0 -1.000000e+00      20     10        46
L20_R10_47       0.005920        1.0 -1.000000e+00      20     10        47
L20_R10_48       0.003011        0.0 -1.000000e+00      20     10        48
L20_R10_49       0.008292        0.0 -1.000000e+00      20     10        49
L20_R10_50       0.008613        1.0 -1.000000e+00      20     10        50
L20_R20_1        0.010916        1.0 -1.000000e+00      20     20         1
L20_R20_2        0.010692        3.0 -1.000000e+00      20     20         2
L20_R20_3        0.010191        1.0 -1.000000e+00      20     20         3
L20_R20_4        0.010972        4.0 -1.000000e+00      20     20         4
L20_R20_5        0.018353        2.0 -1.000000e+00      20     20         5
L20_R20_6        0.006985        3.0 -1.000000e+00      20     20         6
L20_R20_7        0.006072        2.0 -1.000000e+00      20     20         7
L20_R20_8        0.009680        3.0 -1.000000e+00      20     20         8
L20_R20_9        0.015298        4.0 -1.000000e+00      20     20         9
L20_R20_10       0.010449        2.0 -1.000000e+00      20     20        10
L20_R20_11       0.012682        4.0 -1.000000e+00      20     20        11
L20_R20_12       0.004643        3.0 -1.000000e+00      20     20        12
L20_R20_13       0.005005        4.0 -1.000000e+00      20     20        13
L20_R20_14       0.009166        1.0 -1.000000e+00      20     20        14
L20_R20_15       0.014161        4.0 -1.000000e+00      20     20        15
L20_R20_16       0.010860        4.0 -1.000000e+00      20     20        16
L20_R20_17       0.052521        3.0 -1.000000e+00      20     20        17
L20_R20_18       0.009602        4.0 -1.000000e+00      20     20        18
L20_R20_19       0.046932        3.0 -1.000000e+00      20     20        19
L20_R20_20     110.489600        3.0 -1.000000e+00      20     20        20
L20_R20_21       0.036302        3.0 -1.000000e+00      20     20        21
L20_R20_22       0.007622        1.0 -1.000000e+00      20     20        22
L20_R20_23       0.010706        4.0 -1.000000e+00      20     20        23
L20_R20_24       0.027047        2.0 -1.000000e+00      20     20        24
L20_R20_25       0.030957        3.0 -1.000000e+00      20     20        25
L20_R20_26       0.011269        3.0 -1.000000e+00      20     20        26
L20_R20_27       0.008515        3.0 -1.000000e+00      20     20        27
L20_R20_28       0.023150        3.0 -1.000000e+00      20     20        28
L20_R20_29       0.018520        4.0 -1.000000e+00      20     20        29
L20_R20_30       0.019670        6.0 -1.000000e+00      20     20        30
L20_R20_31       0.015348        2.0 -1.000000e+00      20     20        31
L20_R20_32       0.084214        4.0 -1.000000e+00      20     20        32
L20_R20_33       0.011026        2.0 -1.000000e+00      20     20        33
L20_R20_34       0.040106        5.0 -1.000000e+00      20     20        34
L20_R20_35       0.054176        3.0 -1.000000e+00      20     20        35
L20_R20_36       0.007988        3.0 -1.000000e+00      20     20        36
L20_R20_37       0.008024        4.0 -1.000000e+00      20     20        37
L20_R20_38       0.012063        3.0 -1.000000e+00      20     20        38
L20_R20_39       0.101142        8.0 -1.000000e+00      20     20        39
L20_R20_40       0.019196        4.0 -1.000000e+00      20     20        40
L20_R20_41       0.095790        4.0 -1.000000e+00      20     20        41
L20_R20_42       0.020140        5.0 -1.000000e+00      20     20        42
L20_R20_43       0.019243        4.0 -1.000000e+00      20     20        43
L20_R20_44       0.021593        3.0 -1.000000e+00      20     20        44
L20_R20_45       0.013475        2.0 -1.000000e+00      20     20        45
L20_R20_46       0.009810        2.0 -1.000000e+00      20     20        46
L20_R20_47       0.010974        6.0 -1.000000e+00      20     20        47
L20_R20_48       0.006311        2.0 -1.000000e+00      20     20        48
L20_R20_49       0.007526        4.0 -1.000000e+00      20     20        49
L20_R20_50       0.030587        3.0 -1.000000e+00      20     20        50
L20_R30_1        0.018315        4.0 -1.000000e+00      20     30         1
L20_R30_2        0.021969        4.0 -1.000000e+00      20     30         2
L20_R30_3        0.011705        6.0 -1.000000e+00      20     30         3
L20_R30_4        0.069591        6.0 -1.000000e+00      20     30         4
L20_R30_5        0.015106        4.0 -1.000000e+00      20     30         5
L20_R30_6        0.105694        3.0 -1.000000e+00      20     30         6
L20_R30_7        0.015890        7.0 -1.000000e+00      20     30         7
L20_R30_8        0.026313        8.0 -1.000000e+00      20     30         8
L20_R30_9        0.022373        6.0 -1.000000e+00      20     30         9
L20_R30_10       0.017500        7.0 -1.000000e+00      20     30        10
L20_R30_11       0.019133        5.0 -1.000000e+00      20     30        11
L20_R30_12       0.006607        3.0 -1.000000e+00      20     30        12
L20_R30_13       0.041550        6.0 -1.000000e+00      20     30        13
L20_R30_14       0.101474        5.0 -1.000000e+00      20     30        14
L20_R30_15       0.091782        5.0 -1.000000e+00      20     30        15
L20_R30_16       0.013428        6.0 -1.000000e+00      20     30        16
L20_R30_17       0.047542        5.0 -1.000000e+00      20     30        17
L20_R30_18       0.145791        8.0 -1.000000e+00      20     30        18
L20_R30_19       0.017040        6.0 -1.000000e+00      20     30        19
L20_R30_20       0.013624        4.0 -1.000000e+00      20     30        20
L20_R30_21       0.011482        5.0 -1.000000e+00      20     30        21
L20_R30_22       0.148435        5.0 -1.000000e+00      20     30        22
L20_R30_23       0.010066        6.0 -1.000000e+00      20     30        23
L20_R30_24       0.027228        5.0 -1.000000e+00      20     30        24
L20_R30_25       0.020864        2.0 -1.000000e+00      20     30        25
L20_R30_26       0.012765        5.0 -1.000000e+00      20     30        26
L20_R30_27       0.009949        7.0 -1.000000e+00      20     30        27
